,screen_name,User_Id,Name,followers_count,friends_count,created_at,statuses_count,listed_count,location,verified,User_Bio
0,BBCWorld,742143,BBC News (World),38978742,20,2007-02-01 07:44:29,354333,133158,"London, UK",True,"News, features and analysis from the World's newsroom. Breaking news, follow @BBCBreaking. UK news, @BBCNews. Latest sports news @BBCSport"
1,AzzamAmeen,140784400,Azzam Ameen,401196,877,2010-05-06 10:54:19,30661,539,Colombo,True,"Journalist - Colombo, Sri Lanka."
2,SriLankaTweet,41786801,Sri Lanka Tweet 🇱🇰,240768,36704,2009-05-22 10:11:08,45181,434,Sri Lanka,True,Ayubovan 🙏 🇱🇰! #SriLanka's Breaking #News l Journalist l Reporter UWN @DailyNews_LK #LKA #SocialMedia #Cricket Now #EconomicCrisisLK #T20WorldCup
3,adaderana,176337215,Ada Derana,528141,8,2010-08-09 07:35:22,76588,497,Sri Lanka,False,"A premier breaking news website offering news from Sri Lanka in English, Sinhala and Tamil. WEB: https://t.co/Xmgn6FPB58"
4,NewsfirstSL,339564751,Newsfirst.lk Sri Lanka,494757,6,2011-07-21 09:17:21,127232,566,"Colombo, Sri Lanka",False,"Sri Lanka's Largest Independent News Network. 
https://t.co/b5felZ7nZe
https://t.co/mvJorzlqPn
https://t.co/tiqxNRS6xL
https://t.co/HfbA2bqC8h"
5,DailyNews_lk,1879618076,Daily News,15069,89,2013-09-18 14:08:39,30137,158,"Lake House, Sri Lanka ",False,"Sri Lanka's premier daily newspaper, since 1918."
6,MarianneDavid24,2449625713,Marianne David,32604,640,2014-04-17 12:06:49,22848,196,"Colombo, Sri Lanka",False,"Journalist.
Deputy Editor - The Sunday Morning. Poet. Views personal. She/Her. 
#everylittlecounts 
https://t.co/jkuMFfbmv3 ✝️🕯️🧡"
7,HarshadeSilvaMP,1968865952,Harsha de Silva,349263,30,2013-10-18 13:18:06,5657,261,"Colombo, Sri Lanka",True,Father. Husband. #SriLanka Citizen. MP for Colombo and Chair Com on Public Finance. Founder #1990SuwaSeriya. Eisenhower Global Fellow. https://t.co/Apt1Mkqq06
8,RiviraNews,1222141574840233984,Rivira.lk,479,24,2020-01-28 12:57:25,1512,7,,False,"Sri Lanka News Website
#BreakingNews #News #Politics #Entertainment"
9,Dailymirror_SL,66329707,DailyMirror,585576,36,2009-08-17 10:59:06,88223,763,"Colombo, Sri Lanka",True,Premier Breaking News Site + Best Selling English Newspaper in Sri Lanka (Selected Tweets may appear on the Daily Mirror Newspaper)
