,User_Id,Name,Screen_Name
3,1951067186,Chandani Kirinde 🇱🇰,ChandaniKirinde
4,9909452,Vipulananda 🇱🇰,vipulananda
15,957681564284006401,Asiri Fernando,AsiriFernandoLK
21,1100241609721958400,Lankanenews,lankanenews
22,1869917396,Wasitha Pinnawala,WasithaKeminda
26,4611985095,MarcMartín,MarcMartinn
28,122884856,Lankanorg News,LankanOrg
37,40320649,neetwit,Neetwit
163,301807277,Francanstyle,Francanstyle
235,114960150,Vikalpa,vikalpavoices
237,2913277513,Prasad Bastiansz,PBastiansz
377,923548154884128768,Tarutani🧭,Yawathashi
489,2836936358,Galle Watch,Galle_Watch
490,44907359,Vikram Malik,worldofvikram
556,39010185,Dasun Edirisinghe,dasediri
634,978372152,Thass,Thass283
693,928673554186452993,TwineryMAS,twineryMAS
704,197748020,Firdows,mfirdows
807,3021491215,Lanka Voice of Media,LankaVoice
848,2268495480,Amethystinia Is ✨🏳️‍🌈An Internet Auntie🏳️‍⚧️✨™,Amethystinia
885,2728834512,I'm Rasiya ☕️🖊,Rasiya_Twitz
886,121698094,Tilak Nissanga,tilakn
887,2374046070,Vidiyal.lk 🇱🇰,Vidiyallk
903,3189787423,Truth First - Lanka,ApiWenuwen
928,253105781,Muhammad Hassan,itsziaulhassan
1336,2390492197,Santhush Weerakoon,SanthushWeerako
1448,3783020957,ZAIDAKMAL✌🏻,ZaidAkmal19
1453,35476316,dharisha,tingilye
1501,241228244,Nazmeer Mohamed,Coolnazmeer
1615,1079957590765780994,Ranjani,Ranjani_offl
1644,2176262498,அக்கரைப்பற்று News,AkpCaderGS
1653,242654795,Madushan Ekanayaka,Madushan1995
1717,2513402306,Canada in Sri Lanka and Maldives,CanHCSriLanka
1805,2422046018,Mujeeb ur Rahman,Mujeeb_UrRahman
1958,80008003,RB 🇱🇰🦇 ❤️,Roshanbunny
1968,316523639,Bandula Jayasekara,bundeljayse
1982,1086957221538340864,Rumaiza Refai,RefaiRumaiza
1985,251958790,Munza Mushtaq,munza14
2009,104162964,Sanka Darshana,SankaD
2030,979280653500915712,Viran Kavinda,slg_production
2045,1361922312,Lahirru Pothmulla,lahirru
2057,964332412682485761,Naditha Doluweera,ncdoluweera
2062,971969008848093185,Kalpani Madhubhashini,kalpani19980401
2070,36101721,Ramesh Liyanage,rameshliyanage
2073,1120126480300687360,Kavindi Habaragamuwa,UdeshikaKavindi
2079,36129748,Milinda Rajapaksha,milindarj
2094,817820058,Mackie,sargemubeen
2105,1120632975811592192,Dewmini Fernando🇱🇰,Dewandara99
2120,170755609,Tharaka Basnayaka,Tharaka_
2161,1472855060,Logeswaran,SelvaLoges
2265,2957819018,Now,fiatjustita
2279,868640798320885760,Shakir Thawfeek™,shakirrthawfeek
2324,1052489857031757824,🍃🌸Kaly🌸🍃,_LadyKaly
2706,32428395,Ahamed Nishadh,ahamednishadh
2809,573349390,stephen goonawrdena,steve_naro
2882,425886910,Umanga Settinayake,Magsluable
3007,1060483909358505984,Accelozo,accelozo
3160,837936795367059456,Rj Chandru,ChandruLk
3690,966857466544775168,Kevin Sarathchandra // KVN,kvnthemc
3815,141848298,Ruzni Faik,ruzni_RF_faik
3979,1117145840227717120,Vishwajith Vigneshwaran,VishwajithVign1
4082,1323847560,ƬΉΞ SЦPΞR PRΞDΛƬӨR,DRW_PREDATOR
4099,2477102623,CH∆M¶K∆R∆,chamikarasumudu
4125,1030811961892765696,Sam with luv,maliga_samadhi
4264,1110131239837523973,Anuradha Sooriyarachchi,iAnuradhaS
4477,66456606,Citizen Zero,19Ashwin90
4493,121709003,NewsRadio - TNLRN,newsradiolk
4521,181108553,Naaleer~~,Naaleer
4522,1108383770443431936,AJ Abinith Jathushan,AbinithAj
4534,3060773431,Kogulan 🇱🇰,imkogulan
4648,1020963835,Dr. S Sylvester Darvin - (ழகரம் நோக்கி),zhagaram_nokki
4839,146018137,Damitha Wickramasinghe,DWickramasinghe
4880,948461033609465856,Piero,Quasiapodittico
4970,821756586284683264,KreVin JuDe SFC | ˢᵒᵒʳᵃʳᵃⁱ ᵖᵒᵗᵗʳᵘ 🇱🇰,krevin_jude
4982,1009872279394766848,Kavi vijay💕,Kaviabish
5039,970355766472343553,Nazreena Ahmad,NazreenaAhamed
5049,753456436001198081,Fazmina Noordeen ツ,n_fazmina
5079,4523288669,DF,daphniflo
5135,713661935384834049,Kid learns the basics✨,dula_aluthge
5271,1027202793080123398,V I K R A M シ︎,VKOfcl
5278,3243547586,Honey Badger,HoneyBadgerRulz
5318,834643376964202496,Semi exozen SL,SEMIEXOL1285
5360,872081628046163968,Sharu,Thozhy_Sharu
5430,999473023458492417,Kavi,KaviSigera
5452,952029886998306816,Viyasan Pranavanathan,Viyasan95
5535,815060954429784064,🥷🏻,denethDD
7265,230430144,RK's Rabdi (Brahmāstra),ItzMeghani
7377,1037988621427474433,Janith Wickramasuriya,janiwick
7707,17628299,Aritha W,aritha
7873,892932354,Ranga Pallawala,Rangaslk
