,screen_name,User_Id,Name,followers_count,friends_count,created_at,statuses_count,listed_count,location,verified,User_Bio
0,ChandaniKirinde,1951067186,Chandani Kirinde 🇱🇰,11129,1396,2013-10-10 06:53:14,50075,152,"Colombo,Sri Lanka",False,Journalist. Views my own. https://t.co/ivWnn71wIn
1,vipulananda,9909452,Vipulananda 🇱🇰,3049,5000,2007-11-03 07:37:38,124348,352,"Colombo, Sri Lanka",False,விபுலானந்தா විපුල් | Journalist | Editor | Activist | GCC Media Personnel | https://t.co/CUsSmHLmJc
2,AsiriFernandoLK,957681564284006401,Asiri Fernando,1205,2122,2018-01-28 18:27:32,17728,23,Sri Lanka,False,Journalist | News Editor | 🇱🇰 | Interested in; GeoPol | MarSec | Crime | CT/CVE | Arms & Aviation| Views are personal | RT ≠ approval | @StateIVLP alum
3,lankanenews,1100241609721958400,Lankanenews,597,1785,2019-02-26 03:50:16,3123,0,Sri Lanka,False,සත්‍ය වළලන්නට පෙර
4,WasithaKeminda,1869917396,Wasitha Pinnawala,337,547,2013-09-16 02:07:12,80,0,Pinnawala,False,
5,MarcMartinn,4611985095,MarcMartín,56,156,2015-12-26 15:30:38,1832,0,Sri Lanka,False,
6,LankanOrg,122884856,Lankanorg News,140,573,2010-03-14 06:54:48,6431,0,Sri Lanka,False,#SriLanka and worldwide #News in English Sport news weather report politics entertainment #lka #slnews #newslk
7,Neetwit,40320649,neetwit,2932,2866,2009-05-15 20:06:00,191835,0,Colombo,False,against deception of public with fabricated lies n' #sriLanka politics. Abhor ආප්ප-betrayal for power #SLpolitics
8,Francanstyle,301807277,Francanstyle,81,348,2011-05-20 03:02:43,1611,1,Sri Lanka,False,Nothing did I bring...none will be taken...
9,vikalpavoices,114960150,Vikalpa,16093,151,2010-02-17 04:34:35,35429,143,"Colombo, Srilanka",True,"Citizen Journalism website in Sinhala, from SriLanka. Established in 2007. Curated by @sampathslk  | #Humanrights #Democracy #Governance #Peace"
10,PBastiansz,2913277513,Prasad Bastiansz,210,249,2014-11-29 03:07:50,40198,46,Colombo Sri Lanka,False,RTs' are not endorsements
11,Yawathashi,923548154884128768,Tarutani 🇱🇰 තමා හොඳටම කලේ 🌩️,815,685,2017-10-26 13:53:33,15107,19,Sri Lanka,False,"Proud Father, entrepreneur. #LoveJapan
දේශපාලනේ කරනවා කියලා හොරා කන එවූන්ට ⛈️"
12,Galle_Watch,2836936358,Galle Watch,1568,1168,2014-10-01 16:44:43,59193,388,"Galle, Sri Lanka",False,What's up Galle. Twitter Bot that retweets #Galle tag.
13,worldofvikram,44907359,Vikram Malik,225,299,2009-06-05 14:47:48,4452,1,,False,Online Marketeer Par Excellence
14,dasediri,39010185,Dasun Edirisinghe,41,309,2009-05-10 06:40:29,365,0,Sri Lanka,False,Journalist
15,Thass283,978372152,Thass,1577,617,2012-11-29 13:40:04,323374,52,Sri Lankan,False,"Senior Citizen. Engineer. Social worker. 
Praying for Peace, Justice, Humanity for the oppressed, innocent children and victims of conflict."
16,twineryMAS,928673554186452993,TwineryMAS,1159,1410,2017-11-09 17:20:04,784,10,Sri Lanka,False,"Innovations for MAS. Creating, questioning and changing all things #tech and #textiles. Come see what we’re doing"
17,mfirdows,197748020,Firdows,89,116,2010-10-02 10:23:45,4125,0,Doha & Colombo,False,"Llb (London), MSc (Liverpool), Llm - reading(Colombo) Researcher on Human Rights, Institutional Development, Reform and Cultural Studies."
18,LankaVoice,3021491215,Lanka Voice of Media,635,2846,2015-02-15 16:43:55,98308,18,Sri Lanka,False,🔴Ex-News editor 🔴Ex-TV news presenter 🔴Ex-News anchor 🔴Ex- Publicity consultant for ADB Bank🔴Ex-Public Relations Executive for 03 TV& 04 Radio channels
19,Amethystinia,2268495480,Amethystinia Is ✨🏳️‍🌈An Internet Auntie🏳️‍⚧️✨™,3329,796,2013-12-30 07:31:47,247912,40,Sri Lanka,False,"Seelong Melayu. Muslimah. Feminist. Social psychologist. Netizen. කඩ්ඩට බරයි, සිංහල හුරුයි. RTs endorsed unless specified. Cis (she/her), aro, queer, polyam, D."
20,Rasiya_Twitz,2728834512,I'm Rasiya ☕️🖊,2089,948,2014-08-13 07:55:01,20875,20,"Colombo, Srilanka",False,"Former Journalist | News Coordinator @ https://t.co/RMRbJCCGHP 
Only personal views !!

𝐈𝐧 𝐚 𝐰𝐨𝐫𝐥𝐝 𝐨𝐟 𝐰𝐨𝐫𝐫𝐢𝐞𝐫𝐬, 𝐛𝐞 𝐚 𝐰𝐚𝐫𝐫𝐢𝐨𝐫 🔥"
21,tilakn,121698094,Tilak Nissanga,1700,1693,2010-03-10 09:09:52,14254,94,"Havelock Town, CMB Sri Lanka",False,"#IT Dev & Ops, #CurrentAffairs, #Film, Art & #Photo, #Sci & #Tech. #Reading on the #Kindle. Cover- Leopard in silhouette #Yala #SriLanka. RT's ≠ endorsements."
22,Vidiyallk,2374046070,Vidiyal.lk 🇱🇰,15143,663,2014-03-05 16:48:36,22530,62,Sri Lanka ,False,https://t.co/h7Oisc0ro2
23,ApiWenuwen,3189787423,Truth First - Lanka,5419,779,2015-05-09 12:09:55,283542,61,Sri Lanka,False,"“you can, you should, and if you’re brave enough to start, you will.”🇱🇰"
24,itsziaulhassan,253105781,Muhammad Hassan,63,51,2011-02-16 15:28:58,1263,1,Sri Lanka,False,IT Professional Graduate | Muslim | Founder of Youth Foundation | Blogger | Serious Joker |  Internet Addict | Friendly | Honest | Loyal | Husband | Father |
25,SanthushWeerako,2390492197,Santhush Weerakoon,126,116,2014-03-15 05:51:09,909,3,Sri Lanka,False,"Fascinated by the Natural World and the Wild, love to learn about History"
26,ZaidAkmal19,3783020957,ZAIDAKMAL✌🏻,280,117,2015-09-26 15:02:02,1070,0,Sri Lanka,False,
27,tingilye,35476316,dharisha,36985,767,2009-04-26 14:36:18,18996,224,Colombo Sri Lanka,False,RTs are not endorsements. Views are strictly personal.
