"Tweet Id","Tweet URL","Media Id","Media URL","Tweet Posted Time (UTC)","Tweet Content","Tweet Type",Client,"Retweets Received","Favourites Received","User Id",Name,"Screen Name","Verified or Non-Verified","Profile URL","Protected or Not Protected"
"""1129755645698297857""",https://twitter.com/vipulananda/status/1129755645698297857,"""1129755628715618307""",https://pbs.twimg.com/media/D62ywjSXsAMaRkA.jpg,"18 May 2019 14:28:30","'Virulent #Buddhist #nationalism that fueled anti-Muslim attacks in #SriLanka in both recent days and the months preceding #Easter #terror attacks, is a clear and present danger,' writes @MichaelKugelman
 https://t.co/cgGLHR6WJn https://t.co/UgW13EaMOV
#Opinion #lka https://t.co/5r0Rh3pT3j",Tweet,"Twitter Web App",0,0,"""9909452""","Vipulananda 🇱🇰",vipulananda,Non-Verified,https://twitter.com/vipulananda,Non-Protected
"""1129449756512727040""",https://twitter.com/vipulananda/status/1129449756512727040,"""1129449722266214404""",https://pbs.twimg.com/media/D6ycic9XYAQoItX.jpg,"17 May 2019 18:13:00","#SriLanka people pray during Friday noon prayers at a #mosque in #Colombo. #Lanka's minority #Muslims attended prayers today as heavily armed troops guarded all mosques, including those badly vandalized in riots in the wake of #Easter #terror attacks. @AFP https://t.co/GQ1chBHQ8i",Tweet,"Twitter Web App",1,0,"""9909452""","Vipulananda 🇱🇰",vipulananda,Non-Verified,https://twitter.com/vipulananda,Non-Protected
"""1129339112266190849""",https://twitter.com/RudraPr19881953/status/1129339112266190849,"""1129311652329926656""",https://pbs.twimg.com/media/D6we9uXVsAAhJAo.jpg,"17 May 2019 10:53:21","RT @EconomicTimes: In Pics: #SriLanka's #Easter #Sunday #bombing victims https://t.co/M9ipcKEt0Q https://t.co/ERIhebBO86",ReTweet,"Twitter Web App",0,0,"""1123995181471158274""","Rudra Prasad",RudraPr19881953,Non-Verified,https://twitter.com/RudraPr19881953,Non-Protected
"""1129311664908619776""",https://twitter.com/EconomicTimes/status/1129311664908619776,"""1129311652329926656""",https://pbs.twimg.com/media/D6we9uXVsAAhJAo.jpg,"17 May 2019 09:04:17","In Pics: #SriLanka's #Easter #Sunday #bombing victims https://t.co/M9ipcKEt0Q https://t.co/ERIhebBO86",Tweet,TweetDeck,1,4,"""39743812""","Economic Times",EconomicTimes,Verified,https://twitter.com/EconomicTimes,Non-Protected
"""1128966069069258753""",https://twitter.com/lankanenews/status/1128966069069258753,"""1128966067760586752""",https://pbs.twimg.com/media/D6rkqDhW4AAF6zU.png,"16 May 2019 10:11:00","#eastersundayattackslk #srilankaattacks #srilankan #colombo #attacks #sri #srilanka #lka #india #isis #easter #news #muslims #police #country #sunday #government #today https://t.co/xI4A8BjXVI",Tweet,IFTTT,0,4,"""1100241609721958400""",Lankanenews,lankanenews,Non-Verified,https://twitter.com/lankanenews,Non-Protected
"""1128530297375449088""",https://twitter.com/chathu80/status/1128530297375449088,"""1128529430291161088""",https://pbs.twimg.com/media/D6lXiaMUIAAM4qf.jpg,"15 May 2019 05:19:24","Photo courtesy from @Reuters 
#EasterSundayAttacksSL #EasterAttackSL #EasterAttackSL #Easter #SriLanka #SriLankaTerrorAttacks #ISIS 
@eurekagangabada @AzzamAmeen @RW_UNP @officialunp @munza14 @MaithripalaS https://t.co/a69uJiZRk9",Tweet,"Twitter Web Client",3,3,"""122924359""","Chathuranga Udugama",chathu80,Non-Verified,https://twitter.com/chathu80,Non-Protected
"""1128314148251738113""",https://twitter.com/vipulananda/status/1128314148251738113,"""1128314129956134914""",https://pbs.twimg.com/media/D6iTuR8W4AIz5-i.jpg,"14 May 2019 15:00:30","People today inspect vandalized shops in Minuwangoda, suburb of #Colombo, #SriLanka. Mob attacks on Muslim communities in #Lanka's northwest have left 1 person dead &amp; dozens of shops &amp; mosques destroyed, a minister said as communal violence worsened in wake of #Easter attack. @AP https://t.co/UiQKbLyCsX",Tweet,"Twitter Web App",1,0,"""9909452""","Vipulananda 🇱🇰",vipulananda,Non-Verified,https://twitter.com/vipulananda,Non-Protected
"""1128310201520676864""",https://twitter.com/vipulananda/status/1128310201520676864,"""1128310169883033600""",https://pbs.twimg.com/media/D6iQHxhWwAAF32J.jpg,"14 May 2019 14:44:49","#SriLanka #security personnel stand guard today outside damaged #shop after a #mob attack in #Minuwangoda. A #Lankan province north of #Colombo was under indefinite #curfew after first death in anti-#Muslim riots in wake of #Easter #terror attacks, police said. @AFP #photo #lka https://t.co/PtYyILa3pC",Tweet,"Twitter Web App",0,0,"""9909452""","Vipulananda 🇱🇰",vipulananda,Non-Verified,https://twitter.com/vipulananda,Non-Protected
"""1128309202299052032""",https://twitter.com/vipulananda/status/1128309202299052032,"""1128309162495160321""",https://pbs.twimg.com/media/D6iPNItXsAEls8U.jpg,"14 May 2019 14:40:51","People gather today outside damaged #shop after a #mob attack in #Minuwangoda, north of #SriLanka capital #Colombo. A province north of capital was under indefinite #curfew May 14 after first death in anti-#Muslim #riots in wake of #Easter #terror attacks. @AFP #photo https://t.co/Rp5tsQvop2",Tweet,"Twitter Web App",0,0,"""9909452""","Vipulananda 🇱🇰",vipulananda,Non-Verified,https://twitter.com/vipulananda,Non-Protected
"""1128308434783408128""",https://twitter.com/vipulananda/status/1128308434783408128,"""1128308417532190722""",https://pbs.twimg.com/media/D6iOhxgW4AIptXu.jpg,"14 May 2019 14:37:48","Men stand today in front of damaged Jumha Mosque after a #mob attack in #Minuwangoda, north of #SriLanka capital #Colombo. A province north of capital was under indefinite #curfew May 14 after first death in anti-#Muslim #riots in wake of #Easter terror attacks.
@AFP #photo #lka https://t.co/quSowzZpy6",Tweet,"Twitter Web App",0,0,"""9909452""","Vipulananda 🇱🇰",vipulananda,Non-Verified,https://twitter.com/vipulananda,Non-Protected
